case_id,created_by,created_date,document_type,date_on_document,client_1_name,client_1_email,client_1_phone,client_2_name,client_2_email,client_2_phone,application_type,application_fee,add_taxes,amount_1,date_1,amount_2,date_2,amount_3,date_3,amount_4,date_4,amount_5,date_5,amount_6,date_6,amount_7,date_7,amount_8,date_8,amount_9,date_9,amount_10,date_10,amount_11,date_11,amount_12,date_12
202407-001,ASCII-13700K,2024-Jul-22 01:15 AM,Retainer Agreement,Jul 22_2024,Christopher Hibbitts,christopherhibbitts@gmail.com,+1 (204) 494-8397,Mamie Caraballo,mamiecaraballo@gmail.com,+1 (431) 609-1578,EOI,400.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,,,,,,,,,,,,,,,,
202407-002,ASCII-13700K,2024-Jul-22 02:15 AM,Retainer Agreement,Jul 22_2024,Wilma Goodell,wilmagoodell@gmail.com,+1 (431) 504-5609,Gerardo Bolden,gerardobolden@gmail.com,+1 (204) 844-3982,EOI,1000.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,,,,
202407-003,FARABI-AMCAIM,2024-Jul-22 11:24 AM,Retainer Agreement,Jul 22_2024,Marie Roswell,marieroswell@gmail.com,+1 (431) 137-5843,Sharon Sahota,sharonsahota@gmail.com,+1 (204) 805-8663,EOI,900.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,,,,,,
202407-004,FARABI-AMCAIM,2024-Jul-22 11:44 AM,Retainer Agreement,Jul 22_2024,Kathleen Stevens,kathleenstevens@gmail.com,+1 (204) 267-2243,Christopher To,christopherto@gmail.com,+1 (431) 804-5728,EOI,400.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,,,,,,,,,,,,,,,,
202407-005,FARABI-AMCAIM,2024-Jul-22 11:44 AM,Retainer Agreement,Jul 22_2024,Fernando Wilson,fernandowilson@gmail.com,+1 (431) 811-2649,Tanner Anderson,tanneranderson@gmail.com,+1 (431) 237-3577,EOI,600.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,,,,,,,,,,,,
202407-006,FARABI-AMCAIM,2024-Jul-22 11:45 AM,Retainer Agreement,Jul 22_2024,Joshua Hill,joshuahill@gmail.com,+1 (204) 324-4654,Jean Woolsey,jeanwoolsey@gmail.com,+1 (204) 888-6925,EOI,600.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,,,,,,,,,,,,
202407-007,FARABI-AMCAIM,2024-Jul-22 11:46 AM,Retainer Agreement,Jul 22_2024,Antoinette Bartko,antoinettebartko@gmail.com,+1 (204) 560-1872,Bonnie Ottis,bonnieottis@gmail.com,+1 (204) 834-6598,EOI,300.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,,,,,,,,,,,,,,,,,,
202407-008,FARABI-AMCAIM,2024-Jul-22 11:47 AM,Retainer Agreement,Jul 22_2024,Sarah Joos,sarahjoos@gmail.com,+1 (204) 186-3545,Betty Richards,bettyrichards@gmail.com,+1 (431) 922-6782,EOI,1200.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,100.0,Jan 12_2025
202407-008,FARABI-AMCAIM,2024-Jul-22 11:47 AM,Retainer Agreement,Jul 22_2024,Sarah Joos,sarahjoos@gmail.com,+1 (204) 186-3545,Betty Richards,bettyrichards@gmail.com,+1 (431) 922-6782,EOI,1200.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,100.0,Jan 12_2025
202407-009,FARABI-AMCAIM,2024-Jul-22 11:48 AM,Retainer Agreement,Jul 22_2024,Manuel Fulton,manuelfulton@gmail.com,+1 (204) 870-7491,Andrew Taylor,andrewtaylor@gmail.com,+1 (431) 997-9803,EOI,1100.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,,
