case_id,created_by,created_date,date_on_document,client_1_name,client_1_email,client_1_phone,client_2_name,client_2_email,client_2_phone,application_type,application_fee,add_taxes,amount_1,date_1,amount_2,date_2,amount_3,date_3,amount_4,date_4,amount_5,date_5,amount_6,date_6,amount_7,date_7,amount_8,date_8,amount_9,date_9,amount_10,date_10,amount_11,date_11,amount_12,date_12
,ASCII-13700K,2024-Jul-16 11:08 PM,Jul 16_2024,William Hirota,williamhirota@gmail.com,+1 (204) 468-9560,Lola Wittenberg,lolawittenberg@gmail.com,+1 (204) 691-2782,EOI,1200.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,100.0,Jan 12_2025
,ASCII-13700K,2024-Jul-16 11:24 PM,Jul 16_2024,Pedro Freeman,pedrofreeman@gmail.com,+1 (204) 591-5644,Charles Mcfadden,charlesmcfadden@gmail.com,+1 (431) 994-3238,EOI,1000.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,,,,
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Kenneth Bustamante,kennethbustamante@gmail.com,+1 (204) 733-4191,Carey Rice,careyrice@gmail.com,+1 (204) 519-6180,EOI,100.0,Yes,100.0,Jan 1_2025,,,,,,,,,,,,,,,,,,,,,,
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Patricia Fowler,patriciafowler@gmail.com,+1 (431) 448-7177,Ann Bradshaw,annbradshaw@gmail.com,+1 (204) 842-4686,EOI,1200.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,100.0,Jan 12_2025
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Alejandro Carter,alejandrocarter@gmail.com,+1 (431) 454-2830,Jared Mendiola,jaredmendiola@gmail.com,+1 (204) 929-7396,EOI,1200.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,100.0,Jan 7_2025,100.0,Jan 8_2025,100.0,Jan 9_2025,100.0,Jan 10_2025,100.0,Jan 11_2025,100.0,Jan 12_2025
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Leonel Johnson,leoneljohnson@gmail.com,+1 (204) 948-9688,Collin Zukof,collinzukof@gmail.com,+1 (431) 474-6004,EOI,600.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,100.0,Jan 6_2025,,,,,,,,,,,,
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Jeffrey Machado,jeffreymachado@gmail.com,+1 (204) 228-2644,Ricky Polanco,rickypolanco@gmail.com,+1 (204) 754-6005,EOI,500.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,100.0,Jan 4_2025,100.0,Jan 5_2025,,,,,,,,,,,,,,
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Adeline Garvin,adelinegarvin@gmail.com,+1 (204) 291-6719,Flossie Rawe,flossierawe@gmail.com,+1 (204) 192-1840,EOI,100.0,Yes,100.0,Jan 1_2025,,,,,,,,,,,,,,,,,,,,,,
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Cheryl Linen,cheryllinen@gmail.com,+1 (204) 215-3855,Bonnie Powell,bonniepowell@gmail.com,+1 (204) 217-4148,EOI,100.0,Yes,100.0,Jan 1_2025,,,,,,,,,,,,,,,,,,,,,,
,ASCII-13700K,2024-Jul-16 11:25 PM,Jul 16_2024,Robert Bardin,robertbardin@gmail.com,+1 (204) 426-7462,Elaine Turner,elaineturner@gmail.com,+1 (431) 836-7972,EOI,300.0,Yes,100.0,Jan 1_2025,100.0,Jan 2_2025,100.0,Jan 3_2025,,,,,,,,,,,,,,,,,,
